Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1990-01-17,SPACE SHUTTLE,STS-32,Unidentified,Washington And Lee,Washington and Lee the fight song of Washington and Lee University for David Low.,"Folk, World, & Country",Bluegrass,,,https://www.discogs.com/The-Pike-Brothers-And-The-Pine-Hill-Ranchers-Washington-And-Lee-Fling/release/12852136
1990-01-18,SPACE SHUTTLE,STS-32,Steppenwolf,Born To Be Wild,We're ready to rock and roll! Wetherbee radioed referring to the return to Earth.,Rock,,1991.0,https://api.discogs.com/masters/644596,https://www.discogs.com/Steppenwolf-Born-To-Be-Wild/master/644596
1990-01-19,SPACE SHUTTLE,STS-32,Unidentified,Anchors Aweigh,for Lt. Commander U.S. Navy Wetherbee,,,,,
1990-01-19,SPACE SHUTTLE,STS-32,University of Wisconsin-River Falls Pep Band,University Of Wisconsin-River Falls' Fight Song,in honor of graduate Brandenstein.,,,,,
1990-04-25,SPACE SHUTTLE,STS-31,Private Numbers,Space Is Our World,"Crew members began their day at 2:43 a.m. when Capcom Kathy Thornton woke the crew with 'Space is Our World,' an original song written by the Houston band 'Private Numbers' with the help of the STS-31 flight training team.",,,,,
1990-04-26,SPACE SHUTTLE,STS-31,Otis Day and the Knights,Shout,from the soundtrack of the movie Animal House,Electronic,Funk,1989.0,https://api.discogs.com/masters/1049479,https://www.discogs.com/Otis-Day-And-The-Knights-Shout/master/1049479
1990-04-27,SPACE SHUTTLE,STS-31,The Beach Boys,Kokomo,,Rock,Rock & Roll,1988.0,https://api.discogs.com/masters/78295,https://www.discogs.com/The-Beach-Boys-Kokomo/release/482278
1990-04-28,SPACE SHUTTLE,STS-31,Frank Hayes,Cosmos,on album Don't Ask in honor of Hubble Telescope,,,,,
1990-04-29,SPACE SHUTTLE,STS-31,Raffi,Rise And Shine,,Children's,,1982.0,,https://www.discogs.com/Raffi-Rise-and-Shine/release/12163571
1990-10-07,SPACE SHUTTLE,STS-41,"The Boeing Employees Choir: Michael Kysar, Boeing Choir Director, and Gloria Ball","Rise And Shine, Discovery!","Rise and Shine, Discovery! written and performed by Boeing Aerospace & Electronics Co. Employees as a tribute to the successful deployment of the Ulysses probe,  using a Boeing built booster. Sung by the Boeing Employees Choir. Michael Kysar, Boeing Choir Director, and Gloria Ball, choir members, collaborated on words and music. It includes the refrain: Sailing along, sailing along, flying to explore the galaxy",,,,,
1990-10-08,SPACE SHUTTLE,STS-41,The Coast Guard Band,The Coast Guard Hymn Semper Paratus (Always Ready),"in honor of Bruce Melnick, the first Coast Guard member to fly in space.",,,,,
1990-10-09,SPACE SHUTTLE,STS-41,Aaron Copland,Fanfare For The Common Man,one of copilot Robert Cabana's favorites,Classical,,1997.0,https://api.discogs.com/masters/1002503,https://www.discogs.com/Copland-Fanfare-For-The-Common-Man/release/1915360
1990-10-09,SPACE SHUTTLE,STS-41,Unidentified,The University Of Missouri Fight Song,to pay homage to commander Richard Searfoss' alma mater.,,,,,
1990-10-10,SPACE SHUTTLE,STS-41,The Highwaymen,The Highwayman,"For Thomas Akers, a fan of country music.",,,,,
1991-04-06,SPACE SHUTTLE,STS-37,Marching Illini Band from the University of Illinois,Music,"Band members had a special message for one of their alumni STS-37 commander Steve Nagel. An Illinois native, Nagel graduated from the University of Illinois in 1969.",,,,,
1991-04-07,SPACE SHUTTLE,STS-37,United States Naval Academy Band,The Marines' Hymn,The music was in honor of STS 37 pilot Ken Cameron who is a lieutenant colonel in the U.S.M.C.,,,,,
1991-04-08,SPACE SHUTTLE,STS-37,Purdue University Band,Hail Purdue,for alumni Jerry Ross.,Brass & Military,,,,https://www.discogs.com/Purdue-University-All-American-Marching-Band-Hail-Purdue/release/7247779
1991-04-09,SPACE SHUTTLE,STS-37,Harvard Glee Club,"10,000 Men Of Harvard Want Victory Today","in honor of Jay Apt, a Harvard graduate. About five minutes after the wake up call, Apt played a recorded Scottish tune from Atlantis in honor of the highest and fastest Highlanders, Ross and Cameron.",,,,,
1991-04-10,SPACE SHUTTLE,STS-37,The Brass Rhythm and Reeds,La Bamba,for Linda Godwin who played saxophone in the band. Flight director Milt Heflin played Trombone in the same band.,,,,,
1991-04-11,SPACE SHUTTLE,STS-37,Ian Freebairn-Smith,Magnum Pi Theme,"with a greeting by Tom Selleck for Mission Specialist Linda Godwin. She is a big Selleck fan. Good morning, and a special wakeup to Linda, the message said. This is Tom Selleck and I hope you had a nice night's sleep, but it's time to get up and go to work.",,,,,
1991-06-06,SPACE SHUTTLE,STS-40,Jerry Lee Lewis,Great Balls Of Fire,,Rock,Rock & Roll,2001.0,https://api.discogs.com/masters/1191490,https://www.discogs.com/Jerry-Lee-Lewis-Great-Balls-Of-Fire/master/1191490
1991-06-07,SPACE SHUTTLE,STS-40,Unidentified,The Marines' Hymn,"for O'Connor, a Colonel in USMC and Gutierrez, a Lt. Colonel in the Air Force.",Brass & Military,,1944.0,,https://www.discogs.com/Continentals-Military-Band-The-Marines-Hymn-The-Rangers/release/12142725
1991-06-08,SPACE SHUTTLE,STS-40,The Coasters,Yakety Yak,,Funk / Soul,Rock & Roll,1993.0,https://api.discogs.com/masters/747776,https://www.discogs.com/The-Coasters-Yakety-Yak/release/6138222
1991-06-09,SPACE SHUTTLE,STS-40,Unidentified,Somewhere Out There,Greetings from crew's children followed by Somewhere Out There from movie An American Tail,,,,,https://www.discogs.com/label/692742-Somewhere-Out-There
1991-06-10,SPACE SHUTTLE,STS-40,Unidentified,Cow Patty,a humorous western ballad that is a favorite of mission specialist Tammy Jernigan.,"Folk, World, & Country",Country,,,https://www.discogs.com/Mark-V-McGlenn-I-Lost-My-Job-In-Mukilteo-Cow-Patty/release/13059934
1991-06-11,SPACE SHUTTLE,STS-40,Otis Day and the Knights,Shout - The Faber College Theme,from the movie Animal House,,,,,
1991-06-12,SPACE SHUTTLE,STS-40,Sam Cooke,Twistin' The Night Away,"from the movie, Animal House",Funk / Soul,,,https://api.discogs.com/masters/177014,https://www.discogs.com/Sam-Cooke-Twistin-The-Night-Away/release/1519429
1991-06-13,SPACE SHUTTLE,STS-40,Nylons.,Chain Gang,,,,,,
1991-06-14,SPACE SHUTTLE,STS-40,Louis Armstrong,What A Wonderful World,,Jazz,,1976.0,https://api.discogs.com/masters/196285,https://www.discogs.com/Louis-Armstrong-What-A-Wonderful-World/release/4576712
1991-08-03,SPACE SHUTTLE,STS-43,Steve Winwood,Back In The High Life,,Rock,Pop Rock,1986.0,https://api.discogs.com/masters/76670,https://www.discogs.com/Steve-Winwood-Back-In-The-High-Life/master/76670
1991-08-04,SPACE SHUTTLE,STS-43,Unidentified,Excerpt From Dances With Wolves Soundtrack,for James Adamson who is from Montana,,,,,
1991-08-05,SPACE SHUTTLE,STS-43,"friends of the STS-43 crew from Rockwell-Downey, in California.",Custom Music Medley Sung,,,,,,
1991-08-06,SPACE SHUTTLE,STS-43,Music of the Clear Lake High School Orchestra playing,Selections From Phantom Of The Opera,"Commander John Blaha's daughter, Caroline, plays in the orchestra.",,,,,
1991-08-07,SPACE SHUTTLE,STS-43,Louis Armstrong,What A Wonderful World,,Jazz,,1976.0,https://api.discogs.com/masters/196285,https://www.discogs.com/Louis-Armstrong-What-A-Wonderful-World/release/4576712
1991-08-08,SPACE SHUTTLE,STS-43,Chris LeDoux,Cowboy In The Continental Suit,for country and western fan James Adamson,,,,,
1991-08-09,SPACE SHUTTLE,STS-43,Unidentified,Washington And Lee University Fight Song,for graduate G. David Low,,,,,
1991-08-10,SPACE SHUTTLE,STS-43,,,"Sounds from Shannon Lucid's backyard (frogs, crickets, etc.)",,,,,
1991-09-13,SPACE SHUTTLE,STS-48,Elvis Presley,Hound Dog,,Rock,Rock & Roll,1984.0,https://api.discogs.com/masters/624239,https://www.discogs.com/Elvis-Presley-Hound-Dog/master/624239
1991-09-14,SPACE SHUTTLE,STS-48,Elvis Presley,Release Me,In anticipation of deployment of Upper Atmosphere Research Satellite (UARS).,Pop,Rhythm & Blues,1970.0,https://api.discogs.com/masters/1316819,https://www.discogs.com/Elvis-Presley-Please-Release-Me/master/1316819
1991-09-15,SPACE SHUTTLE,STS-48,Phil Harris and Bruce Reitherman,Bare Necessities,from film Jungle Book. Played for Ken Reightler's daughters who were in Mission Control Center viewing room.,,,,,
1991-09-16,SPACE SHUTTLE,STS-48,Elvis Presley,Are You Lonesome Tonight?,Chosen for its line Are you sorry we drifted apart? referring to Discovery's separation from its payload (UARS),Rock,Rock & Roll,2017.0,https://api.discogs.com/masters/1305195,https://www.discogs.com/Elvis-Presley-Are-You-Lonesome-Tonight/master/1305195
1991-09-17,SPACE SHUTTLE,STS-48,Elvis Presley,Return To Sender,In honor of expected landing.,Rock,Rock & Roll,1981.0,https://api.discogs.com/masters/509146,https://www.discogs.com/Elvis-Presley-Return-To-Sender/master/509146
1991-11-25,SPACE SHUTTLE,STS-44,,,"Space - the final frontier. This is the voyage of the Space Shuttle Atlantis - Its ten-day mission: To explore new methods of remote sensing and observation of the planet Earth - To seek out new data on radiation in space, and a new understanding of the effects of microgravity on the human body - To boldly go where two hundred and fifty-five men and women have gone before. Hello - Fred, Tom, Story, Jim, Tom, and especially Mario - This is Patrick Stewart, choosing not to outrank you as Captain Jean-Luc Picard, saying that we are confident of a productive and successful mission. Make it so. All this to the theme music of Star Trek - the Next Generation Capcom Marsha Ivins contacted actor Patrick Stewart to request the special wakeup call for Mario Runco, a big Star Trek fan. PC",,,,,
1991-11-26,SPACE SHUTTLE,STS-44,,Reveille (Bugle Call),Followed by gunfire.,,,,,
1991-11-26,SPACE SHUTTLE,STS-44,Irving Berlin,"This Is The Army, Mr. Jones","From the movie, 'This is the Army'.",,,,,
1991-11-27,SPACE SHUTTLE,STS-44,James Brown,It's Time To Love (Put A Little Love In Your Heart),,,,,,
1991-11-28,SPACE SHUTTLE,STS-44,,Recorded Turkey Gobbles,,,,,,
1991-11-28,SPACE SHUTTLE,STS-44,Jimmy Buffett,Cheeseburger In Paradise,,Rock,Pop Rock,1978.0,https://api.discogs.com/masters/506726,https://www.discogs.com/Jimmy-Buffett-Cheeseburger-In-Paradise/release/3896969
1991-11-29,SPACE SHUTTLE,STS-44,The Beatles,Twist And Shout,And from the movie Ferris Bueller's Day Off,Rock,Beat,,https://api.discogs.com/masters/199451,https://www.discogs.com/The-Beatles-Twist-And-Shout-Twist-And-Shout/release/8306448
1991-11-30,SPACE SHUTTLE,STS-44,Unidentified,University Of Alabama Fight Song,"For football game that day between the schools and Auburn graduates Jim Voss and Jan Davis. Voss was on Atlantis for his first spaceflight, Davis was the Capcom. PC",,,,,
1991-11-30,SPACE SHUTTLE,STS-44,Unidentified,Auburn University Fight Song,Ibid.,,,,,
1991-12-01,SPACE SHUTTLE,STS-44,Glenn Miller,In The Mood,,Jazz,Big Band,1986.0,,https://www.discogs.com/Glenn-Miller-In-The-Mood/release/12168291
1992-05-08,SPACE SHUTTLE,STS-49,Lee Greenwood,God Bless The USA,,Pop,Ballad,1984.0,https://api.discogs.com/masters/640569,https://www.discogs.com/Lee-Greenwood-God-Bless-The-USA-/release/9455239
1992-05-09,SPACE SHUTTLE,STS-49,Fontella Bass,Rescue Me,,Funk / Soul,Soul,1965.0,https://api.discogs.com/masters/244876,https://www.discogs.com/Fontella-Bass-Rescue-Me/release/6022270
1992-05-10,SPACE SHUTTLE,STS-49,Unidentified,Theme Song From The Disney Animated Feature Winnie The Pooh,with taped messages from Kathy Thornton's children for Mother's Day.,,,,,
1992-05-11,SPACE SHUTTLE,STS-49,Bill Conti,Gonna Fly Now (Theme From 'Rocky'),,Stage & Screen,Theme,,https://api.discogs.com/masters/77443,https://www.discogs.com/Bill-Conti-Gonna-Fly-Now-Theme-From-Rocky/release/1521242
1992-05-12,SPACE SHUTTLE,STS-49,The Beach Boys,Kokomo,,Rock,Rock & Roll,1988.0,https://api.discogs.com/masters/78295,https://www.discogs.com/The-Beach-Boys-Kokomo/release/482278
1992-05-13,SPACE SHUTTLE,STS-49,,,No wakeup call.,,,,,
1992-05-14,SPACE SHUTTLE,STS-49,Boxcar Willie.,I Wake Up Every Morning With A Smile On My Face,,"Folk, World, & Country",Country,1980.0,,https://www.discogs.com/Boxcar-Willie-I-Wake-Up-Every-Morning-With-A-Smile-On-My-Face/release/8252858
1992-05-15,SPACE SHUTTLE,STS-49,Jimmy Buffett,Son Of A Son Of A Sailor,,Rock,,1981.0,https://api.discogs.com/masters/148629,https://www.discogs.com/Jimmy-Buffett-Son-Of-A-Son-Of-A-Sailor/release/3911446
1992-10-23,SPACE SHUTTLE,STS-52,Crow Carroll,Wake Up Columbia,an original composition.,,,,,
1992-10-24,SPACE SHUTTLE,STS-52,Big Joe Turner,"Shake, Rattle  And Roll","in honor of  deployment of Laser Geodynamics Satellite-II which will help measure the shake, rattle, and roll of the Earth's crust",Blues,,1992.0,https://api.discogs.com/masters/1364164,https://www.discogs.com/Big-Joe-Turner-Shake-Rattle-and-Roll/release/14045605
1992-10-25,SPACE SHUTTLE,STS-52,Unidentified,Unidentified,Unidentified,,,,,
1992-10-26,SPACE SHUTTLE,STS-52,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,"written by Gene Lockhart and performed by Les Paul and Mary Ford. His daughter June -- who needs no introduction, I'm sure -- is in the (Mission Control) viewing room this morning and sends her best wishes, Mission Control said. Well, great. Thanks a lot. We'll have to see if we can learn that song shuttle commander James Wetherbee replied. June Lockhart was one of the stars of the TV show, Lost in Space.",Jazz,Vocal,1987.0,https://api.discogs.com/masters/1193923,https://www.discogs.com/Les-Paul-Mary-Ford-The-World-Is-Waiting-For-The-Sunrise/master/1193923
1992-10-27,SPACE SHUTTLE,STS-52,The Beatles,Birthday,in honor of Pilot Mike Baker's 39th birthday,Rock,Pop Rock,1994.0,https://api.discogs.com/masters/1372503,https://www.discogs.com/The-Beatles-Birthday/master/1372503
1992-10-28,SPACE SHUTTLE,STS-52,Unidentified,Hawaiian Music,"set the tone for today's planned discussion between the STS-52 crew, students at the University of Hawaii and the Polynesian sailing canoe Hokulea located somewhere in the South Pacific.",,,,,https://www.discogs.com/artist/5597788-Hawaiian-Guitar-Music
1992-10-29,SPACE SHUTTLE,STS-52,Bobby Darin,Mack The Knife,,Jazz,Big Band,,https://api.discogs.com/masters/347786,https://www.discogs.com/Bobby-Darin-Mack-The-Knife/release/4030267
1992-10-30,SPACE SHUTTLE,STS-52,Todd Rundgren,Bang The Drum,in honor of Max Q drummer and Mission Commander Jim Wetherbee.,Rock,Pop Rock,1983.0,https://api.discogs.com/masters/593984,https://www.discogs.com/Todd-Rundgren-Bang-The-Drum-All-Day/master/593984
1992-10-31,SPACE SHUTTLE,STS-52,Bobby Boris Pickett,Monster Mash,In honor of Halloween Mission Control included a pattern  for a cutout mask in flight plans radioed to the shuttle. The mask was of  Moe of the Three Stooges.,Rock,Rock & Roll,,https://api.discogs.com/masters/134177,https://www.discogs.com/Bobby-Boris-Pickett-And-The-Crypt-Kickers-Monster-Mash-Monster-Mash-Party/release/9677185
1992-11-01,SPACE SHUTTLE,STS-52,"JSC employees and Notre Dame grads, Chris McKenna, Mark Ferring, Pete Hasbrook, and Fisher Reynolds",Notre Dame Victory March,"sung by JSC (Johnson Space Center) employees and Notre Dame grads, Chris McKenna, Mark Ferring, Pete Hasbrook, and Fisher Reynolds. Notre Dame is also the alma mater of  Wetherbee.",,,,,
1992-12-03,SPACE SHUTTLE,STS-53,The Singing Dogs,Jingle Bells,"The astronauts, who nicknamed themselves the dogs of war because their flight supposedly is the last shuttle mission devoted to Defense Department work, were roused by a canine rendition of Jingle Bells. Crew dogs, wake up. We got work to do, Mission Control's Carl Meade said. Good morning, Carl. Dogs of war are wide awake, commander David Walker replied.",Pop,Parody,1971.0,https://api.discogs.com/masters/225628,https://www.discogs.com/Don-Charles-Presents-The-Singing-Dogs-Jingle-Bells-Oh-Susanna/master/225628
1992-12-04,SPACE SHUTTLE,STS-53,Nancy Cassidy,I Want To Be A Dog,a children's song,,,,,
1992-12-05,SPACE SHUTTLE,STS-53,Houston Highlanders Pipe Band,"Bagpipe Medley (Bonnie Dundee, Gary Green, And The Eyes Of Texas)",,,,,,
1992-12-06,SPACE SHUTTLE,STS-53,Unidentified,Off We Go Into The Wild Blue Yonder,,,,,,
1992-12-07,SPACE SHUTTLE,STS-53,Unidentified,Anchors Aweigh,played for crew members Dave Walker and Bob Cabana,,,,,
1992-12-08,SPACE SHUTTLE,STS-53,Bob Sharples and His Military Band,The Army Goes Rolling Along,in honor of Army Lieutenant Colonels Jim Voss and Rich Clifford.,,,,,
1992-12-09,SPACE SHUTTLE,STS-53,Unidentified,The Marines' Hymn,,Brass & Military,,1944.0,,https://www.discogs.com/Continentals-Military-Band-The-Marines-Hymn-The-Rangers/release/12142725
1993-01-14,SPACE SHUTTLE,STS-54,Unidentified,Off We Go Into The Wild Blue Yonder,,,,,,
1993-01-15,SPACE SHUTTLE,STS-54,Purdue Band and Glee Club,Hail Purdue,"For Greg Harbaugh, a Purdue alumnus.",,,,,
1993-01-16,SPACE SHUTTLE,STS-54,,,No wakeup call sent.,,,,,
1993-01-17,SPACE SHUTTLE,STS-54,John Fogerty,Centerfield,,Rock,Pop Rock,1985.0,https://api.discogs.com/masters/70753,https://www.discogs.com/John-Fogerty-Centerfield/master/70753
1993-01-18,SPACE SHUTTLE,STS-54,Willie Nelson,Stardust,,Rock,Country Rock,1978.0,https://api.discogs.com/masters/1447613,https://www.discogs.com/Willie-Nelson-Stardust/master/1447613
1993-01-19,SPACE SHUTTLE,STS-54,Eddie Higgins and Rebecca Parris,Ain't Misbehavin',,,,,,
1993-06-22,SPACE SHUTTLE,STS-57,Les Paul and Mary Ford,Sitting On Top Of The World,,Jazz,Big Band,,https://api.discogs.com/masters/355993,https://www.discogs.com/Les-Paul-And-Mary-Ford-Sitting-On-Top-Of-The-World/master/355993
1993-06-23,SPACE SHUTTLE,STS-57,Unidentified,The Smurfs,"in honor of Mission Specialist Nancy Sherlock, nicknamed Smurf.",,,,,https://www.discogs.com/artist/41276-The-Smurfs
1993-06-24,SPACE SHUTTLE,STS-57,The Hudson Brothers,Rendezvous,,,,,,
1993-06-25,SPACE SHUTTLE,STS-57,Dire Straits,The Walk Of Life,in honor of upcoming space walk,Rock,Pop Rock,,,https://www.discogs.com/Dire-Straits-With-Eric-Clapton-The-Walk-Of-Life/release/12523631
1993-06-26,SPACE SHUTTLE,STS-57,Madonna,Holiday,...to suggest the crew take some time to celebrate the success of their mission.,Electronic,Synth-pop,1991.0,https://api.discogs.com/masters/707587,https://www.discogs.com/Madonna-Holiday/master/707587
1993-06-27,SPACE SHUTTLE,STS-57,James Brown,I Got You (I Feel Good),...a favorite tune of Payload Commander David Low.,Funk / Soul,Soul,1970.0,https://api.discogs.com/masters/65272,https://www.discogs.com/James-Brown-I-Got-You-I-Feel-Good/release/4606366
1993-06-28,SPACE SHUTTLE,STS-57,Perry Como,Catch A Falling Star,,Pop,,,,https://www.discogs.com/Perry-Como-Catch-a-Falling-Star/release/11308107
1993-06-29,SPACE SHUTTLE,STS-57,,,No wakeup call sent.,,,,,
1993-06-30,SPACE SHUTTLE,STS-57,,,No wakeup call sent.,,,,,
1993-07-01,SPACE SHUTTLE,STS-57,Bing Crosby,I'Ll Be Home For Christmas,"The mission was extended twice to wait for acceptable landing weather in Florida. On July 1st if the weather was acceptable it would land in Florida, otherwise it would be sent to California. So it wasn't a question of whether they would land that day but where. Of course after that many delays the crew may have wondered when they would finally make it home... Capcom Susan Helms played I'll Be Home For Christmas. Given that it was July 1st they presumably did make it home in time. PC",Jazz,Easy Listening,1999.0,,https://www.discogs.com/Bing-Crosby-Ill-Be-Home-For-Christmas/release/12566042
1993-09-13,SPACE SHUTTLE,STS-51,Elvis Presley,Please Release Me,In preparation for deployment of ORFEUS-SPAS payload. The singer was actually well known Elvis impersonator Carl Walz on his maiden spaceflight. He had the unusual distinction of hearing his own voice singing for his first wakeup in space. PC,Pop,Rhythm & Blues,1970.0,https://api.discogs.com/masters/1316819,https://www.discogs.com/Elvis-Presley-Please-Release-Me/master/1316819
1993-09-14,SPACE SHUTTLE,STS-51,Jimmy Buffett,"Changes In Latitudes, Changes In Attitudes",,Rock,Folk Rock,1977.0,https://api.discogs.com/masters/170756,https://www.discogs.com/Jimmy-Buffett-Changes-In-Latitudes-Changes-In-Attitudes/release/8295959
1993-09-15,SPACE SHUTTLE,STS-51,Perry Como,Don't Let The Stars Get In Your Eyes,,Pop,Novelty,1953.0,https://api.discogs.com/masters/936902,https://www.discogs.com/Perry-Como-Dont-Let-The-Stars-Get-In-Your-Eyes/release/8155792
1993-09-16,SPACE SHUTTLE,STS-51,Unidentified,"Walk, Don't Run",,,,,,https://www.discogs.com/label/136657-Walk-Dont-Run-Recordings
1993-09-17,SPACE SHUTTLE,STS-51,Aaron Copland,Fanfare For The Common Man,"Videotape views of Earth with Theme for the Common Man by crew beat Mission Control's wakeup call by five minutes. We didn't mean to preempt your music, just precede it, Discovery commander Frank Culbertson Jr. told Mission Control's Susan Helms. Of course the videotape views of the Earth are just on the flight day highlights. On the shuttle they just hear the music. PC",Classical,,1997.0,https://api.discogs.com/masters/1002503,https://www.discogs.com/Copland-Fanfare-For-The-Common-Man/release/1915360
1993-09-18,SPACE SHUTTLE,STS-51,"Lea Salonga, Brad Kane",A Whole New World,Crew for Mission Control,Pop,Soundtrack,2019.0,,https://www.discogs.com/Lea-Salonga-And-Brad-Kane-A-Whole-New-World/release/14466839
1993-09-18,SPACE SHUTTLE,STS-51,John Williams,Star Wars (Main Title),Sent to Discovery.,Jazz,Fusion,1977.0,https://api.discogs.com/masters/226227,https://www.discogs.com/John-Williams-4-The-London-Symphony-Orchestra-Cantina-Band-Main-Title-Star-Wars/release/2582867
1993-09-19,SPACE SHUTTLE,STS-51,The Hudson Brothers,Rendezvous,,,,,,
1993-09-20,SPACE SHUTTLE,STS-51,Max Q,Heartbreak Hotel,"Max Q is an astronaut band. Carl Walz, nicknamed Elvis, is lead singer.",,,,,
1993-09-21,SPACE SHUTTLE,STS-51,The Beach Boys,Surfin' Safari,,Rock,Classic Rock,2018.0,https://api.discogs.com/masters/246896,https://www.discogs.com/The-Beach-Boys-Surfin-Safari/release/12415652
1993-09-22,SPACE SHUTTLE,STS-51,,,No wakeup call sent,,,,,
1993-10-19,SPACE SHUTTLE,STS-58,,,"No music, just greeting, Good morning, how are you? from Linda Ham, Flight Director.",,,,,
1993-10-20,SPACE SHUTTLE,STS-58,Richard Strauss,Also Sprach Zarathustra,Theme From 2001: A Space Odyssey,,,,,
1993-10-21,SPACE SHUTTLE,STS-58,,,No wakeup call sent.,,,,,
1993-10-22,SPACE SHUTTLE,STS-58,Harry Belafonte,Jump In The Line,,Reggae,Calypso,1961.0,https://api.discogs.com/masters/530072,https://www.discogs.com/Harry-Belafonte-Jump-In-The-Line/release/2983938
1993-10-22,SPACE SHUTTLE,STS-58,Thompson Twins,Doctor! Doctor!,,Electronic,Synth-pop,1984.0,https://api.discogs.com/masters/85842,https://www.discogs.com/Thompson-Twins-Doctor-Doctor/release/1176084
1993-10-23,SPACE SHUTTLE,STS-58,The Moody Blues,I Know You'Re Out There Somewhere,,Electronic,Pop Rock,1988.0,https://api.discogs.com/masters/625696,https://www.discogs.com/The-Moody-Blues-I-Know-Youre-Out-There-Somewhere/master/625696
1993-10-24,SPACE SHUTTLE,STS-58,Jim Nabors,Back Home In Indiana,"for Mission Specialist David Wolf, who hails from Indianapolis.",,,,,
1993-10-25,SPACE SHUTTLE,STS-58,R.E.M.,Shiny Happy People,,Rock,Alternative Rock,1991.0,https://api.discogs.com/masters/57881,https://www.discogs.com/REM-Shiny-Happy-People/release/6488203
1993-10-26,SPACE SHUTTLE,STS-58,Roy Rogers,Happy Trails,,"Folk, World, & Country",Country,,,https://www.discogs.com/Roy-Rogers-Happy-Trails/release/9330170
1993-10-27,SPACE SHUTTLE,STS-58,Joe Walsh,Look At Us Now,,,,,,
1993-10-28,SPACE SHUTTLE,STS-58,,,No wakeup call sent.,,,,,
1993-10-29,SPACE SHUTTLE,STS-58,Bette Midler,From A Distance,,Pop,Ballad,1990.0,https://api.discogs.com/masters/103135,https://www.discogs.com/Bette-Midler-From-A-Distance/master/103135
1993-10-30,SPACE SHUTTLE,STS-58,Mike Post,Theme From St.Elsewhere,,,,,,
1993-10-31,SPACE SHUTTLE,STS-58,Bobby Boris Pickett,Monster Mash,,Rock,Rock & Roll,,https://api.discogs.com/masters/134177,https://www.discogs.com/Bobby-Boris-Pickett-And-The-Crypt-Kickers-Monster-Mash-Monster-Mash-Party/release/9677185
1993-11-01,SPACE SHUTTLE,STS-58,,,No wakeup call sent.,,,,,
1993-12-02,SPACE SHUTTLE,STS-61,Frank Hayes,Cosmos,"(6:57 p.m.) outside, Hey, good morning, Houston. It can't be morning -- It's still dark outside, shuttle pilot Ken Bowersox told misslon control. No. You're confused again, Sox. Good morning, a Houston fllght controller prodded him.",,,,,
1993-12-03,SPACE SHUTTLE,STS-61,Rare Earth,Get Ready,,Rock,,1970.0,https://api.discogs.com/masters/910413,https://www.discogs.com/Rare-Earth-Get-Ready/master/910413
1993-12-04,SPACE SHUTTLE,STS-61,Aaron Copland,Fanfare For The Common Man,,Classical,,1997.0,https://api.discogs.com/masters/1002503,https://www.discogs.com/Copland-Fanfare-For-The-Common-Man/release/1915360
1993-12-05,SPACE SHUTTLE,STS-61,The Beatles,With A Little Help From My Friends,,Rock,,1980.0,https://api.discogs.com/masters/187038,https://www.discogs.com/The-Beatles-With-A-Little-help-From-My-Friends/release/8255349
1993-12-06,SPACE SHUTTLE,STS-61,Jackson Browne,Doctor My Eyes,,Rock,Soft Rock,1972.0,https://api.discogs.com/masters/231761,https://www.discogs.com/Jackson-Browne-Doctor-My-Eyes/release/2080378
1993-12-07,SPACE SHUTTLE,STS-61,Johnny Nash,I Can See Clearly Now,,Reggae,Reggae,1972.0,https://api.discogs.com/masters/95954,https://www.discogs.com/Johnny-Nash-I-Can-See-Clearly-Now/master/95954
1993-12-08,SPACE SHUTTLE,STS-61,Unidentified,A Traditional Swiss Alpine Song,chosen by Mission Specialist Claude Nicollier,,,,,
1993-12-09,SPACE SHUTTLE,STS-61,The Beatles,A Hard Day's Night,,Rock,Beat,2000.0,,https://www.discogs.com/The-Beatles-A-Hard-Days-Night-A-Hard-Days-Night/release/3591853
1993-12-10,SPACE SHUTTLE,STS-61,Willie Nelson,Mamas Don't Let Your Babies Grow Up To Be Cowboys,,"Folk, World, & Country",Country,1978.0,,https://www.discogs.com/Willie-Nelson-Waylon-Jennings-Mamas-Dont-Let-Your-Babies-Grow-Up-To-Be-Cowboys/release/11864295
1993-12-11,SPACE SHUTTLE,STS-61,Willie Nelson,My Heroes Have Always Been Cowboys,,"Folk, World, & Country",Country,1979.0,https://api.discogs.com/masters/583905,https://www.discogs.com/Willie-Nelson-My-Heroes-Have-Always-Been-Cowboys-/release/4805572
1993-12-12,SPACE SHUTTLE,STS-61,The Who,I Can See For Miles,,Rock,Psychedelic Rock,1967.0,https://api.discogs.com/masters/232002,https://www.discogs.com/The-Who-I-Can-See-For-Miles/master/232002
1994-02-04,SPACE SHUTTLE,STS-60,Pure Prairie League,Early Morning Riser,,Rock,Country Rock,1972.0,https://api.discogs.com/masters/1506607,https://www.discogs.com/Pure-Prairie-League-Early-Morning-Riser/release/10913959
1994-02-05,SPACE SHUTTLE,STS-60,STS-60 simulation and training team,Rawhide,Sung by The STS-60 simulation and training team,,,,,
1994-02-06,SPACE SHUTTLE,STS-60,Mary Chapin Carpenter,The Bug,,Rock,Folk Rock,1992.0,https://api.discogs.com/masters/532191,https://www.discogs.com/Mary-Chapin-Carpenter-The-Bug/master/532191
