Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1966-06-06,GEMINI,GEMINI 9,Johann Sebastian Bach,Unknown,Ibid.,,,,,
1966-11-14,GEMINI,GEMINI 12,Julie Andrews,My Favorite Things,"Mission Commentary Tape 240, page 2 to Mission Commentary Tape 242, page 1",Stage & Screen,Musical,1966.0,,https://www.discogs.com/Julie-Andrews-Christopher-Plummer-Edelweiss-My-Favorite-Things/release/1465232
1966-11-14,GEMINI,GEMINI 12,Dean Martin,Houston,"Mission Commentary Tape 248, page 1 - Mission Commentary Tape 249, page 1",Jazz,Vocal,,https://api.discogs.com/masters/1349741,https://www.discogs.com/Dean-Martin-Houston/master/1349741
1969-05-21,APOLLO,APOLLO 10,Robert Goulet,On A Clear Day,,Pop,Vocal,1966.0,https://api.discogs.com/masters/326792,https://www.discogs.com/Robert-Goulet-On-A-Clear-Day-You-Can-See-Forever/release/2703334
1969-05-22,APOLLO,APOLLO 10,Tony Bennett,The Best Is Yet To Come,,Jazz,,1961.0,,https://www.discogs.com/Tony-Bennett-The-Best-Is-Yet-To-Come/release/8856393
1969-05-24,APOLLO,APOLLO 10,Frank Sinatra,It's Nice To Go Trav'ling,,Jazz,Big Band,1960.0,,https://www.discogs.com/Frank-Sinatra-Its-Nice-To-Go-Travling/release/2472858
1969-05-25,APOLLO,APOLLO 10,Unidentified,Come Fly With Me,"Zip-a-Dee-Doo-Dah was sent from mission control to the crew, but only after the crew themselves, awake before mission control's first transmission, sent 'Come Fly with Me'. The following message attached: ""Good morning, good morning! This is Tom, John, and Gene from KAT 10, broadcasting again from approximately 140,000 miles [259,280 km] out into the universe. It’s a beautiful day out here, and it appears that it might be a beautiful day down in Mother Earth country. For those of you who are not just ready for work or are just getting up: Get up lazy bones! It's time you got up! Big day ahead! And the thought for today is: Remember, National Secretary’s Week was last month!""",,,,,https://www.discogs.com/label/784508-Come-Fly-With-Me
1969-05-25,APOLLO,APOLLO 10,Unidentified,Zip-A-Dee-Doo-Dah,Ibid.,Rock,Rock & Roll,1966.0,https://api.discogs.com/masters/450244,https://www.discogs.com/Max-Merritt-And-The-Meteors-Zip-A-Dee-Doo-Dah/master/450244
1969-05-26,APOLLO,APOLLO 10,Unidentified,Reveille (Bugle Call),,,,,,
1969-07-20,APOLLO,APOLLO 11,Frank Sinatra,Fly Me To The Moon,"Various sources note that Fly Me to the Moon was played by Aldrin when he stepped foot on the moon. One has Sinatra relaying the news to Jones while he was on holiday in Marbella. An alternative telling of the story, the cutest I can find, is from the New York Times published November 18, 1990, by Diane K. Shah: ""MY NAME IS DR. ALDRIN,"" THE man said. He had come up to Jones at a party in Sun Valley, Idaho, two, three years ago, a distinguished looking man in a white military jacket covered with medals. ""We worked together before,"" he added, ""but we'll talk about it later."" Mystified, Jones asked someone who the man was. ""Why that's Buzz Aldrin,"" came the reply. Later, the astronaut came up to Jones again. He said that just as he was getting ready to step off the spacecraft, he reached back and took the cassette of ""Fly Me to the Moon"" that Jones had arranged and conducted for Count Basie and Frank Sinatra, and he played it. ""The first music played on the moon,"" Jones says. I freaked."" ...The astronauts since Apollo 7 were equipped with a Sony TC-50 casette player for recording mission logs, but they also took mix-tapes with them to space. Fly Me to the Moon may very well have been the first human music played from an extraterrestrial surface.""",Pop,,,,https://www.discogs.com/Frank-Sinatra-Fly-Me-To-The-Moon/release/10855629
